가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude,total review,good service,bad service,good traffic,bad traffic,good cost,bad cost,good taste,bad taste,good_senti,bad_senti
가시아방,식당,한식,"고기국수, 아강발",3.9,제주특별자치도 서귀포시 성산읍 고성리 528-2,33.4388359,126.91878490000002,59.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,2.0,1.0
앤트러사이트 제주한림점,카페,-,-,3.8,제주특별자치도 제주시 한림읍 동명리 1715,33.4076458,126.2581716,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
돈사돈 본관,식당,한식,"근고기, 흑돼지",3.6,제주특별자치도 제주시 노형동 3086-3,33.4788707,126.4640837,58.0,67.0,33.0,0.0,0.0,50.0,50.0,62.0,38.0,2.0,2.0
은희네해장국 본점,식당,한식,"소고기 해장국, 해장국",3.6,제주특별자치도 제주시 일도2동 357-4,33.5085228,126.5408037,30.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0
순옥이네명가,식당,한식,"전복뚝배기, 전복물회",3.6,제주특별자치도 제주시 도두1동 2615-5,33.5055582,126.46506409999998,64.0,50.0,50.0,0.0,0.0,0.0,100.0,29.0,71.0,1.0,3.0
경미네집,식당,한식,"문어라면, 해물라면",3.5,제주특별자치도 서귀포시 성산읍 성산리 145-4,33.4612504,126.9334723,28.0,100.0,0.0,100.0,0.0,0.0,100.0,50.0,50.0,3.0,2.0
리치망고 본점,카페,-,-,3.4,제주특별자치도 제주시 애월읍 고내리 474-1,33.4683713,126.3402434,17.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0
구좌상회,카페,-,-,3.4,제주특별자치도 제주시 구좌읍 월정리 417,33.5468086,126.78381170000002,20.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0
도두해녀의집,식당,한식,"물회, 한치, 전복죽",3.4,제주특별자치도 제주시 도두1동 2587-4,33.5062012,126.4666854,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
늘봄흑돼지,식당,한식,"흑돼지, 흑돼지 삼겹살",3.4,제주특별자치도 제주시 노형동 2343-3,33.4795151,126.4729821,11.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,4.0,1.0
용이식당,식당,한식,두루치기,3.4,제주도 서귀포시 천지동 298-8,33.251276399999995,126.5603458,45.0,0.0,100.0,0.0,0.0,100.0,0.0,67.0,33.0,2.0,2.0
동복리 해녀촌,식당,한식,"회국수, 성게국수",3.4,제주도 제주시 구좌읍 동복리 1506,33.553627,126.71043490000001,44.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,67.0,2.0,1.0
면뽑는선생 만두빚는아내,식당,한식,"만두, 한우수육",3.4,제주특별자치도 제주시 한림읍 협재리 1398 아길라호텔 1층,33.399925,126.2495196,35.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,1.0,0.0
쌍둥이횟집,식당,일식,"횟집, 고등어회",3.4,제주도 서귀포시 서귀동 496-18,33.246589,126.5629979,46.0,0.0,100.0,0.0,0.0,100.0,0.0,80.0,20.0,2.0,2.0
김희선 몸국,식당,한식,"몸국, 고사리 육개장",3.4,제주특별자치도 제주시 용담3동 1174-1,33.5187327,126.4954179,55.0,0.0,0.0,100.0,0.0,0.0,0.0,57.0,43.0,2.0,1.0
봄날 카페,카페,-,-,3.4,제주특별자치도 제주시 애월읍 애월리 2540,33.4624594,126.3095913,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
바다속고등어쌈밥,식당,한식,"고등어쌈밥, 고등어 조림",3.3,제주특별자치도 제주시 애월읍 하귀리 1548,33.4863013,126.4087743,17.0,0.0,100.0,0.0,0.0,0.0,100.0,40.0,60.0,0.0,3.0
밥깡패,식당,양식,"커리, 파스타",3.3,제주특별자치도 제주시 한림읍 한림리 1534-6,33.4101259,126.263442,25.0,100.0,0.0,100.0,0.0,0.0,100.0,67.0,33.0,3.0,2.0
오설록 티 뮤지엄,카페,-,-,3.2,제주도 서귀포시 안덕면 서광리 1235-3,33.305789000000004,126.2894477,41.0,0.0,0.0,0.0,0.0,100.0,0.0,75.0,25.0,2.0,0.0
고집돌우럭 제주공항점,식당,한식,"우럭조림, 갈치조림",2.3,제주특별자치도 제주시 건입동 1319-124,33.516343199999994,126.5281752,90.0,100.0,0.0,100.0,0.0,100.0,0.0,56.0,44.0,4.0,1.0
제주김만복,식당,한식,"전복김밥, 오징어무침",3.2,제주특별자치도 서귀포시 강정동 707-2,33.232737,126.506316,67.0,0.0,0.0,0.0,0.0,33.0,67.0,43.0,57.0,1.0,2.0
흑돈가 제주본점,식당,한식,"흑돼지, 멜젓",3.2,제주도 제주시 노형동 1509,33.4800314,126.47359750000001,29.0,0.0,100.0,0.0,0.0,0.0,0.0,67.0,33.0,1.0,2.0
아라파파,카페,-,-,3.2,제주도 제주시 연동 1498-2,33.478787100000005,126.4903725,21.0,0.0,0.0,100.0,0.0,0.0,0.0,75.0,25.0,2.0,0.0
국수바다,식당,한식,"성게국수, 국수",3.2,제주특별자치도 서귀포시 색달동 2130,33.2586303,126.40606559999999,41.0,0.0,0.0,0.0,0.0,100.0,0.0,20.0,80.0,2.0,1.0
제주김만복 본점,식당,한식,"전복김밥, 오징어무침",3.2,제주특별자치도 제주시 오라3동 2250-1,33.4970489,126.50873090000002,54.0,0.0,100.0,100.0,0.0,0.0,100.0,62.0,38.0,2.0,3.0
수두리보말칼국수,식당,한식,톳보말칼국수,3.2,제주특별자치도 서귀포시 중문동 2056-2,33.2515572,126.4250625,12.0,0.0,0.0,0.0,0.0,100.0,0.0,67.0,33.0,2.0,0.0
미영이네 식당,식당,한식,"고등어탕, 고등어회",3.2,제주 서귀포시 대정읍 하모리 770-29,33.2176507,126.2499045,37.0,100.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,2.0,2.0
운정이네,식당,한식,"오분자기돌솥밥, 전복뚝배기",3.2,제주특별자치도 서귀포시 중문동 1239-5,33.2635619,126.43780749999999,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,2.0
